complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.19046496475831903}",1427.312,537.414,0.0,890,inf,inf,0.0,2,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=2), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28418570533406384}",1781.989,899.623,0.0,882,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.3646143413285376}",2523.064,1634.997,0.0,888,inf,inf,0.0,0,0.6666666666666666,"{'Estimator': RandomForestClassifier(min_samples_leaf=2), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.43946780352535875}",3638.154,2753.162,0.0,885,inf,inf,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5122791274592989}",5125.736,4240.977,0.0,885,inf,inf,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5854449808469314}",7548.634,6665.669,0.0,883,inf,inf,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6617173335219119}",11925.929,11036.55,0.0,889,inf,inf,0.0,268,0.6666666666666666,"{'Estimator': RandomForestClassifier(n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7460553220443045}",16660.473,15773.462,0.0,887,inf,inf,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=2, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8512496901872999}",19816.396,18965.231,0.0,851,inf,inf,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
